m,x,y,z,vx,vy,vz,Eb,simulation,event
8.958428168,-3.857356795,3.153996626,3.169399471,-577.6033627,472.2706442,474.563799,-3616963.6580163627,37,flyby
45.37017545,1.957212223,1.299889011,-1.286972192,319.4070241,216.779503,-213.1257873,676719.6887921784,38,flyby
28.16968351,1.955577057,1.300150704,-1.28720725,253.5288264,161.123477,-161.9238953,-14447510.112487694,38,flyby
26.64780903,-5.399582703,-3.587575483,3.551900828,-811.8258239,-539.4110044,534.0363715,-20227061.059509177,38,flyby
36.78384217,0.3812739453,0.3465359326,1.505764327,-132.4473095,86.97729582,229.390189,1411579.6497366228,39,flyby
28.70326506,0.3809598976,0.3463747222,1.505722888,299.8374128,6.801351201,220.0093122,-9762865.65331637,39,flyby
13.47020598,-1.852942233,-1.684384675,-7.320375106,-277.23346,-252.0065479,-1095.219935,-9319582.539534634,39,flyby
41.41513746,-0.3150122343,0.5327266561,-0.08635192471,-384.5318728,418.1531079,-32.9893421,34886205.81814813,40,flyby
37.86689392,-0.3150434116,0.5327138643,-0.0863613522,322.1606734,-290.9331588,9.106042749,-4124586.4825718035,40,flyby
3.781821094,6.604223154,-11.16794423,1.810374638,985.2968264,-1666.163793,270.0922538,-10937882.24289759,40,flyby
44.60585569,-0.2153998251,0.4014543818,0.1766682672,5.260931185,102.9323364,22.20748352,2000235.3012396353,41,flyby
25.94908752,-0.2159196143,0.4015376687,0.1766545677,-96.77632388,-13.55891399,33.71398937,-2175562.9322626144,41,flyby
5.577833778,2.727046213,-5.078450426,-2.234642437,408.1493016,-760.069888,-334.4364748,-2563890.782361945,41,flyby
38.00620984,-0.6802670981,0.2281952956,-0.01519160308,-220.9130747,-94.08602405,20.45904495,-2559286.8675558106,42,change23
13.54569806,3.291726894,-1.103680549,0.07344579631,491.471695,-164.7554455,10.96337844,-1482459.0040426473,42,change23
27.52653377,-0.680592939,0.2280448832,-0.01516715943,63.16601651,210.9811842,-33.64307969,1497978.5703103552,42,change23
45.86998573,-1.551636437,-1.715673595,0.4870624675,-480.4455817,1763.794598,-10.49553395,499838798.90569067,43,flyby
40.96354552,-1.551639079,-1.715673171,0.4870623451,47.6518512,-2517.231482,165.6711703,-127683777.37085138,43,flyby
6.571151545,20.50389164,22.67151782,-6.436215736,3056.700651,3379.847994,-959.5043561,-46049969.93214965,43,flyby
48.72662948,-0.6310466543,1.176593172,-0.8013488059,-263.822682,80.35386136,-107.2211216,1758563.3173260004,44,flyby
28.25776527,-0.6310441682,1.176271752,-0.8013386932,197.7070979,340.9827392,-141.743236,-22659188.187792663,44,flyby
6.952267269,6.987745524,-13.02743797,8.873517754,1045.476105,-1949.117102,1327.605887,-24007386.835546963,44,flyby
36.18101113,0.08104565883,0.4145658299,-0.4224703345,71.26011853,55.02877457,-50.00632983,1490752.3791975528,45,flyby
32.1140606,0.08033916056,0.4146212953,-0.422412793,-54.56987058,70.14396484,-78.30347036,-2702870.95570794,45,flyby
7.040910331,-0.7829002637,-4.021437993,4.097594281,-117.2863979,-602.7067585,614.1140513,-2679407.5724948645,45,flyby
24.76316542,-4.953438594,0.8936010109,-2.290209299,-732.6028402,120.3840198,-336.2677522,265889.6846218994,46,flyby
16.52869814,-4.95461948,0.8927234924,-2.290018506,-756.877115,154.0214442,-353.5222819,-18485943.531060673,46,flyby
35.63889674,5.739690276,-1.034935145,2.653388993,860.0647462,-155.0795299,397.6081852,-23019810.011235677,46,flyby
54.57248474,0.0371769553,0.1759398872,-0.3501028891,272.8751613,281.916247,78.13978864,8268576.739311714,47,flyby
24.43233812,0.03713203509,0.1759812122,-0.3501020637,-591.6556413,-545.0281955,-342.9963817,-4575177.371546143,47,flyby
20.65966611,-0.1421156202,-0.6728622434,1.338830764,-21.10125588,-100.1253804,199.2249596,-1850506.938833935,47,flyby
27.54264799,-0.02734175288,0.2575807834,-0.09149101769,134.9812167,89.86472926,-6.363799897,1338030.8187688275,48,flyby
18.36767942,-0.02754034438,0.2577135921,-0.09152514965,-212.6878087,-38.22292111,-24.73760019,-431793.64585376927,48,flyby
4.033524456,0.3121132661,-2.93243728,1.04152325,46.81795106,-439.5774123,156.1037294,-553177.8305119923,48,flyby
108.8307298,-0.03499325452,0.09755766302,-0.3184381397,35.9544295,18.91621333,-47.80046659,1095683.904146356,49,flyby
23.37928971,-0.03651718814,0.09791477295,-0.3184346184,-197.5215822,-4.609262537,-49.6804714,-4028318.8722897014,49,flyby
5.13698539,0.9075531649,-2.51245595,8.195590828,137.2336959,-379.7760494,1238.791492,-4475004.038450144,49,flyby
29.73373031,0.5548930243,-0.7732981839,-0.3579537287,89.00785357,-100.0048531,44.69156062,4827757.822143211,50,flyby
29.42991164,0.5549804861,-0.7733884445,-0.3580691729,78.20357395,-133.254038,-153.6061929,-2032587.812325592,50,flyby
27.61199264,-1.189050955,1.657026128,0.7671030495,-179.1996634,249.7165629,115.5936088,-1426179.6704765942,50,flyby
53.97730721,3.727899884,-1.399560982,-0.9996619472,710.2587485,-261.6420003,-268.4456439,-56155190.12640494,51,change23
16.42606127,-13.31135521,4.997465064,3.56953124,-1984.794773,745.1487224,532.2361959,-2143514.362506759,51,change23
4.67585991,3.727900165,-1.399557389,-0.9996618629,-1226.618039,402.6793136,1229.170407,56165361.56098237,51,change23
36.91925332,1.831523501,1.86308245,0.6003583077,308.3532073,295.4013272,87.08434328,370557.8487061892,52,flyby
13.64022334,1.830445429,1.863148623,0.600356262,183.4783271,236.2511806,98.04775967,-10954761.058170425,52,flyby
13.77202216,-6.722771973,-6.839763632,-2.204017217,-1008.338164,-1025.885316,-330.5601907,-18324970.432778016,52,flyby
49.44895385,-0.05947034745,0.396376963,-1.33451025,-8.86117581,59.16896781,-199.0971005,-6539803.693677038,53,ionization
32.72985489,3.75872222,4.280896675,-1.752570439,560.7630262,638.6486365,-261.4835611,-29358971.720996615,53,ionization
35.69969344,-3.363661556,-4.473807413,3.455254095,-501.8395084,-667.4769015,515.5075737,-13285967.95338666,53,ionization
40.38075483,-0.2380185211,0.1483106172,0.8846339616,-171.5995257,111.8409265,131.1533339,904135.6879348278,54,flyby
27.96171797,-0.2385041057,0.1481548371,0.8846219664,160.7576185,-107.3336444,133.8820723,-5053831.576832867,54,flyby
7.998443216,2.035440103,-1.266691301,-7.558688037,304.341623,-189.4103514,-1130.175351,-6369681.728666955,54,flyby
